latitude,longitude,occurrence
65.5,-140.0,-3.5831658385093164
66.0,-140.0,0.3741440993788821
66.5,-140.0,-0.9204496894409936
67.5,-140.0,-9.908780124223602
68.0,-140.0,-10.73532546583851
68.5,-140.0,-10.930021739130437
69.0,-140.0,-13.808701242236022
69.5,-140.0,-12.45407950310559
66.0,-139.5,-0.393386956521739
66.5,-139.5,-0.920453416149068
67.5,-139.5,-9.39144658385093
68.0,-139.5,-10.29399751552795
69.0,-139.5,-14.986294409937887
69.5,-139.5,-12.388654658385091
65.5,-139.0,-3.282920496894409
67.0,-139.0,-5.2208813664596265
67.5,-139.0,-7.659508695652174
68.0,-139.0,-10.110936645962733
69.0,-139.0,-11.736657142857144
67.0,-138.5,-4.196272049689441
67.5,-138.5,-6.699829192546583
68.5,-138.5,-13.976706832298136
69.0,-138.5,-12.032201863354036
61.5,-138.0,-0.6923596273291923
66.5,-138.0,-0.1461316770186334
68.5,-138.0,-12.663356521739132
69.0,-138.0,-12.297581366459628
61.5,-137.5,-1.4733099378881982
67.0,-137.5,-0.0825130434782607
68.0,-137.5,-11.701224223602482
61.0,-137.0,0.1240795031055901
61.5,-137.0,-5.6197024844720485
67.0,-137.0,0.2684608695652175
67.5,-137.0,-8.05314409937888
68.0,-137.0,-12.36679254658385
68.5,-137.0,-12.818337267080745
60.5,-136.5,-2.076298757763975
61.0,-136.5,-1.9223204968944096
61.5,-136.5,-4.164640372670807
67.0,-136.5,-2.746225465838509
67.5,-136.5,-12.081478881987575
68.0,-136.5,-13.361147204968942
68.5,-136.5,-9.734520496894408
60.5,-136.0,-2.882293788819876
61.0,-136.0,-2.3170403726708075
61.5,-136.0,-2.130104968944099
65.0,-136.0,-0.6617577639751552
67.0,-136.0,-3.697217391304348
67.5,-136.0,-10.614496894409935
68.5,-136.0,-8.253053416149067
69.0,-136.0,-8.525639751552793
60.5,-135.5,-2.371078881987578
61.0,-135.5,-0.5907242236024843
61.5,-135.5,-0.4742304347826084
65.0,-135.5,-3.766487577639751
66.0,-135.5,-0.3901024844720495
66.5,-135.5,-3.706724223602485
67.0,-135.5,-4.19152857142857
67.5,-135.5,-8.738876397515526
68.0,-135.5,-10.707301242236024
68.5,-135.5,-5.690029192546584
69.0,-135.5,-5.732220496894409
60.5,-135.0,-1.1992503105590062
62.5,-135.0,0.0410726708074535
65.0,-135.0,-0.7996602484472048
66.5,-135.0,-2.7674975155279498
67.0,-135.0,-3.482214285714285
67.5,-135.0,-8.56472857142857
68.0,-135.0,-9.150916149068324
68.5,-135.0,-3.770132380952381
69.0,-135.0,-5.162199378881987
59.5,-134.5,0.265636645962733
60.0,-134.5,-0.2835534161490681
62.0,-134.5,-0.4459490683229813
62.5,-134.5,-3.3642701863354034
65.0,-134.5,-3.783468322981367
65.5,-134.5,-0.3886807453416148
66.0,-134.5,-0.5297652173913041
66.5,-134.5,-3.809887577639752
67.0,-134.5,-3.544186335403726
67.5,-134.5,-7.457436645962732
68.0,-134.5,-7.908255279503105
68.5,-134.5,-3.878405590062111
69.0,-134.5,-4.940505590062111
60.0,-134.0,0.3263360248447206
60.5,-134.0,-2.133640372670807
61.5,-134.0,-2.5695751552795025
62.0,-134.0,-2.6331919254658387
65.0,-134.0,-4.238090683229814
65.5,-134.0,-1.6278832298136643
66.0,-134.0,-1.7191447619047615
66.5,-134.0,-1.6283813664596272
67.0,-134.0,-2.6776260869565216
67.5,-134.0,-3.5957124223602484
68.0,-134.0,-3.951565217391304
68.5,-134.0,-4.580140372670807
69.0,-134.0,-0.5709217391304346
59.5,-133.5,0.0197944099378883
60.0,-133.5,-2.1465366459627324
60.5,-133.5,-3.9965795031055897
61.0,-133.5,-3.883183229813664
61.5,-133.5,-1.4767453416149068
62.0,-133.5,-2.2821540372670808
62.5,-133.5,-0.7730267080745339
65.0,-133.5,-5.909977639751553
65.5,-133.5,-1.0156937888198754
66.0,-133.5,-2.616394409937888
66.5,-133.5,-1.7449906832298134
67.0,-133.5,-2.8740118012422355
67.5,-133.5,-3.9175583850931663
68.0,-133.5,-2.9285714285714284
68.5,-133.5,-4.107718012422359
69.0,-133.5,-0.1484807453416147
69.5,-133.5,-4.1735739130434775
53.5,-133.0,-8.834584285714287
54.0,-133.0,-7.81459254658385
58.5,-133.0,0.176217391304348
59.0,-133.0,-0.0449900621118011
60.0,-133.0,-4.499003726708075
60.5,-133.0,-7.287214906832299
61.0,-133.0,-2.6966192546583847
61.5,-133.0,-3.4567999999999994
62.0,-133.0,-1.1050670807453415
64.5,-133.0,-1.1830217391304347
65.0,-133.0,-3.389421739130434
65.5,-133.0,-4.807043478260868
66.0,-133.0,-4.063585714285714
66.5,-133.0,-2.21974
67.0,-133.0,-2.8040565217391302
67.5,-133.0,-1.93034099378882
68.0,-133.0,-2.718350310559006
68.5,-133.0,-2.7584217391304344
53.5,-132.5,-10.502673291925465
54.0,-132.5,-8.573799378881986
58.5,-132.5,0.3999310559006211
59.5,-132.5,-5.216919254658384
60.0,-132.5,-5.480186335403727
60.5,-132.5,-5.448568944099378
61.0,-132.5,-5.078039751552795
61.5,-132.5,-3.1660701863354035
62.0,-132.5,-0.420622360248447
63.0,-132.5,0.374436645962733
64.5,-132.5,-1.2702838509316767
65.0,-132.5,-6.664636645962732
65.5,-132.5,-4.245973291925465
66.0,-132.5,-4.178065217391304
66.5,-132.5,-2.6372012422360243
67.0,-132.5,-2.2192419047619043
67.5,-132.5,-1.7612273291925462
68.0,-132.5,-4.480296894409936
68.5,-132.5,-3.328318633540372
53.5,-132.0,-11.632521262458472
54.0,-132.0,-9.894253416149068
56.0,-132.0,-0.0400685714285712
57.5,-132.0,0.2685397515527952
59.0,-132.0,-0.6704080745341612
59.5,-132.0,-4.842248447204969
60.0,-132.0,-3.973806832298137
60.5,-132.0,-9.348906211180124
61.0,-132.0,-5.924250310559006
61.5,-132.0,-5.69587701863354
62.0,-132.0,-0.9217658385093164
62.5,-132.0,-4.1363894409937885
64.5,-132.0,-2.887598136645962
65.0,-132.0,-8.658838509316771
65.5,-132.0,-4.371608695652173
66.0,-132.0,-4.317871428571429
66.5,-132.0,-2.775219875776397
67.0,-132.0,-2.259651428571428
67.5,-132.0,-1.2751533333333331
68.0,-132.0,-6.683190062111801
68.5,-132.0,-6.748998757763975
69.0,-132.0,-3.8687198757763976
55.5,-131.5,-1.5293116883116882
56.0,-131.5,-0.4545785714285711
57.5,-131.5,0.1367273291925467
58.0,-131.5,-0.5217173913043478
58.5,-131.5,-2.7684335403726705
59.0,-131.5,-2.9745683229813658
59.5,-131.5,-3.21563850931677
60.0,-131.5,-5.507450310559007
60.5,-131.5,-8.917671428571428
61.0,-131.5,-7.194013043478261
61.5,-131.5,-5.394812422360248
62.0,-131.5,-2.838517391304348
62.5,-131.5,-1.879876397515528
63.0,-131.5,-0.9586689440993786
63.5,-131.5,-1.957642236024844
64.0,-131.5,-2.990768571428571
64.5,-131.5,-3.858995652173913
65.0,-131.5,-10.351658385093168
65.5,-131.5,-5.35850559006211
66.0,-131.5,-4.335510559006211
66.5,-131.5,-2.415278881987577
67.0,-131.5,-1.719398095238095
67.5,-131.5,-0.7434496894409937
68.0,-131.5,-5.678108074534162
68.5,-131.5,-8.117578881987576
69.0,-131.5,-5.34408447204969
55.5,-131.0,-2.7963314285714285
56.0,-131.0,-1.2675666666666667
56.5,-131.0,-0.1186987577639748
57.5,-131.0,-3.1697683229813665
58.0,-131.0,-3.184490683229813
58.5,-131.0,-6.075198136645962
59.0,-131.0,-5.672719254658384
59.5,-131.0,-4.894362732919254
60.0,-131.0,-7.940290683229814
60.5,-131.0,-7.717516149068323
61.0,-131.0,-6.465485714285713
61.5,-131.0,-7.074286956521738
62.0,-131.0,-1.4028608695652176
62.5,-131.0,-1.9791105590062112
63.0,-131.0,-3.714947204968945
63.5,-131.0,-4.1514428571428565
64.0,-131.0,-4.26163354037267
64.5,-131.0,-6.437447204968944
65.0,-131.0,-8.987929192546584
65.5,-131.0,-4.950614906832297
66.0,-131.0,-4.413886956521739
66.5,-131.0,-1.9989347826086956
67.0,-131.0,-1.922294409937888
67.5,-131.0,-0.2130987577639749
